country,population,gdp,mx_tax_rate,unemploy_rate,inflation,poverty_rate
USA,345,280000,0.37,0.039,0.027,0.111
china,1412,186000,0.45,0.051,0.006,0.125
canada,41,22000,0.33,0.068,0.026,0.099
Japan,129,48000,0.50,0.025,0.029,0.154
Germany,84,46000,0.45,0.059,0.030,0.212
india,1425,35000,0.42,0.066,0.045,0.050
england,68,30000,0.45,0.043,0.026,0.24
france,67,28000,0.45,0.074,0.023,0.154
italy,59,23000,0.43,0.075,0.014,0.190
switzerland,9.0,9400,0.40,0.024,0.012,0.156
netherlands,18.0,11400,0.49,0.037,0.032,0.047
australia,27.1,18000,0.45,0.042,0.033,0.134
spain, 49,17300,0.47,0.112,0.083,0.202
denmark, 6.0,4100,0.55, 0.058,0.022,0.179
sweden,10.6, 6100,0.52, 0.074,0.019,0.161
